Tue Dec 20 09:55:15 2022    output.dat

         38911626 function calls (38190086 primitive calls) in 921.456 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   603804    0.183    0.000    0.186    0.000 {built-in method builtins.isinstance}
    99143    0.145    0.000    0.145    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    46422    0.125    0.000    8.910    0.000 <__array_function__ internals>:177(tile)
   495451    0.116    0.000    0.116    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
        2    0.111    0.055    0.111    0.055 {built-in method gc.collect}
   247632    0.109    0.000    0.109    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/numeric.py:1472(<listcomp>)
       42    0.100    0.002    3.182    0.076 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/image.py:310(_make_image)
       18    0.092    0.005    0.093    0.005 /home/vbundu/.local/lib/python3.8/site-packages/h5py/_hl/group.py:458(__delitem__)
        3    0.091    0.030    0.091    0.030 {built-in method scipy.ndimage._nd_image.correlate1d}
      425    0.088    0.000    0.088    0.000 {method 'sort' of 'numpy.ndarray' objects}
   492202    0.082    0.000    0.082    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3210(_around_dispatcher)
   336870    0.077    0.000    0.077    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2157(_sum_dispatcher)
   247632    0.073    0.000    0.073    0.000 {method 'item' of 'numpy.ndarray' objects}
   495264    0.073    0.000    0.073    0.000 {built-in method _operator.index}
    46653    0.068    0.000    0.088    0.000 {built-in method builtins.all}
   247632    0.065    0.000    0.065    0.000 {method 'insert' of 'list' objects}
        1    0.064    0.064    0.231    0.231 /home/vbundu/tumor_growth/TumorSim.py:297(ReadAnatomyData)
    92844    0.059    0.000    0.059    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/lib/shape_base.py:1263(<genexpr>)
   252850    0.059    0.000    0.059    0.000 {built-in method numpy.asarray}
1716/1669    0.053    0.000   13.547    0.008 /usr/lib/python3.8/copy.py:128(deepcopy)
   247632    0.050    0.000    0.050    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/lib/function_base.py:5191(_insert_dispatcher)
   249259    0.050    0.000    0.050    0.000 {method 'random' of '_random.Random' objects}
   139266    0.049    0.000    0.049    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/lib/shape_base.py:1273(<genexpr>)
   247634    0.049    0.000    0.049    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2493(_cumsum_dispatcher)
     1785    0.044    0.000    0.147    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/lib/arraysetops.py:323(_unique1d)
   247632    0.044    0.000    0.044    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/numeric.py:1406(_moveaxis_dispatcher)
   226431    0.044    0.000    0.044    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/multiarray.py:1071(copyto)
      146    0.043    0.000    0.089    0.001 /home/vbundu/.local/lib/python3.8/site-packages/numpy/lib/arraysetops.py:523(in1d)
     2054    0.041    0.000    0.041    0.000 {method 'argsort' of 'numpy.ndarray' objects}
        1    0.033    0.033    0.061    0.061 /home/vbundu/tumor_growth/DetectBoundary.py:2(DetectBoundary)
        6    0.025    0.004    0.025    0.004 {method 'tobytes' of 'numpy.ndarray' objects}
     2288    0.021    0.000    0.021    0.000 {method 'astype' of 'numpy.ndarray' objects}
     1995    0.020    0.000    0.670    0.000 /home/vbundu/tumor_growth/TumorSim.py:953(Angiogeneis3D)
10869/7629    0.019    0.000    0.035    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/artist.py:290(stale)
       18    0.019    0.001    0.019    0.001 /home/vbundu/.local/lib/python3.8/site-packages/h5py/_hl/files.py:542(close)
       18    0.019    0.001    0.019    0.001 /home/vbundu/.local/lib/python3.8/site-packages/h5py/_hl/dataset.py:614(__init__)
 1824/876    0.018    0.000    0.044    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2441(get_affine)
       42    0.017    0.000    0.017    0.000 {method 'take' of 'numpy.ndarray' objects}
        7    0.016    0.002    0.016    0.002 {built-in method numpy.fromfile}
        1    0.016    0.016    0.016    0.016 {built-in method numpy.core._multiarray_umath._insert}
      146    0.016    0.000    0.234    0.002 /home/vbundu/.local/lib/python3.8/site-packages/numpy/lib/arraysetops.py:788(setdiff1d)
       42    0.015    0.000    0.054    0.001 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/colors.py:589(__call__)
    46422    0.015    0.000    0.015    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/lib/shape_base.py:1187(_tile_dispatcher)
      504    0.014    0.000    0.075    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/lines.py:724(draw)
      680    0.012    0.000    0.055    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/lib/arraysetops.py:373(intersect1d)
      196    0.012    0.000    0.012    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
     1674    0.012    0.000    0.014    0.000 /usr/lib/python3.8/copy.py:242(_keep_alive)
      420    0.012    0.000    0.102    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/text.py:671(draw)
     1627    0.011    0.000    0.019    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/linalg/linalg.py:2357(norm)
  1302/12    0.011    0.000    3.726    0.311 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/artist.py:32(draw_wrapper)
        6    0.010    0.002    0.010    0.002 {method 'encode_to_file' of 'ImagingEncoder' objects}
     1785    0.010    0.000    0.160    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/lib/arraysetops.py:138(unique)
     1785    0.009    0.000    0.009    0.000 {method 'flatten' of 'numpy.ndarray' objects}
     1110    0.009    0.000    0.011    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/font_manager.py:710(__hash__)
      372    0.009    0.000    0.069    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/text.py:872(get_window_extent)
       42    0.009    0.000    0.009    0.000 {method 'draw_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      638    0.009    0.000    0.026    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/artist.py:1046(update)
     4224    0.008    0.000    0.008    0.000 {method 'copy' of 'numpy.ndarray' objects}
      168    0.007    0.000    0.008    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    10506    0.007    0.000    0.008    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/__init__.py:653(__getitem__)
     2440    0.007    0.000    0.016    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:1900(__init__)
       48    0.007    0.000    0.165    0.003 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/axis.py:1040(_update_ticks)
     3488    0.006    0.000    0.008    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:1783(__init__)
      978    0.006    0.000    0.011    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:1653(normalize_kwargs)
      450    0.006    0.000    0.015    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/backend_bases.py:735(__init__)
       72    0.006    0.000    0.006    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      188    0.006    0.000    0.022    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/lines.py:649(recache)
     2308    0.006    0.000    0.011    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:1976(_setattr_cm)
      480    0.006    0.000    0.012    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/ma/core.py:2972(__array_finalize__)
4119/1773    0.005    0.000    0.006    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2409(<lambda>)
      985    0.005    0.000    0.011    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:767(__init__)
2981/2285    0.005    0.000    0.049    0.000 {built-in method builtins.next}
       18    0.005    0.000   94.963    5.276 /home/vbundu/.local/lib/python3.8/site-packages/h5py/_hl/group.py:69(create_dataset)
     1664    0.005    0.000    0.021    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/artist.py:81(_stale_axes_callback)
       84    0.005    0.000    2.874    0.034 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/image.py:161(_resample)
      234    0.005    0.000    0.013    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/font_manager.py:658(__init__)
      465    0.005    0.000    0.005    0.000 {method 'shuffle' of 'numpy.random.mtrand.RandomState' objects}
       96    0.005    0.000    0.047    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/ticker.py:2053(_raw_ticks)
     1147    0.005    0.000    0.008    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:872(get_siblings)
        1    0.005    0.005    0.005    0.005 {method 'tofile' of 'numpy.ndarray' objects}
     1627    0.005    0.000    0.005    0.000 {method 'dot' of 'numpy.ndarray' objects}
      768    0.004    0.000    0.053    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:1480(transform)
     7478    0.004    0.000    0.004    0.000 {built-in method builtins.id}
     7034    0.004    0.000    0.004    0.000 {built-in method numpy.asanyarray}
       42    0.004    0.000    0.021    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/colors.py:1215(__call__)
