Tue Dec 20 09:55:15 2022    output.dat

         38911626 function calls (38190086 primitive calls) in 921.456 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    46422    0.125    0.000    8.910    0.000 <__array_function__ internals>:177(tile)
    21078    2.087    0.000   60.971    0.003 /home/vbundu/tumor_growth/TumorSim.py:402(Celldivide_anisotropic_anatomy_v3)
    10956    0.002    0.000    0.002    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/artist.py:832(get_animated)
10869/7629    0.019    0.000    0.035    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/artist.py:290(stale)
    10603    0.002    0.000    0.002    0.000 {function RcParams.__getitem__ at 0x7fefe5eca8b0}
    10506    0.007    0.000    0.008    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/__init__.py:653(__getitem__)
     9906    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
     7777    0.002    0.000    0.002    0.000 {built-in method builtins.issubclass}
     7478    0.004    0.000    0.004    0.000 {built-in method builtins.id}
     7034    0.004    0.000    0.004    0.000 {built-in method numpy.asanyarray}
     6922    0.001    0.000    0.001    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/artist.py:266(axes)
     5113    0.003    0.000    0.003    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:107(__init__)
     4224    0.008    0.000    0.008    0.000 {method 'copy' of 'numpy.ndarray' objects}
4119/1773    0.005    0.000    0.006    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2409(<lambda>)
     4097    0.001    0.000    0.001    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:1940(get_matrix)
     3488    0.006    0.000    0.008    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:1783(__init__)
     3050    0.001    0.000    0.001    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:1052(get_points)
2981/2285    0.005    0.000    0.049    0.000 {built-in method builtins.next}
     2825    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
     2636    0.001    0.000    0.001    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/artist.py:828(get_visible)
     2604    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/artist.py:896(get_rasterized)
     2604    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/artist.py:921(get_agg_filter)
     2546    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
     2440    0.007    0.000    0.016    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:1900(__init__)
